xmin,ymin,xmax,ymax,width,height,center_x,center_y,depth,state
0.29296875,1.025390625,0.341796875,1.07421875,0.048828125,0.048828125,0.3173828125,1.0498046875,10,FREE
0.341796875,1.025390625,0.390625,1.07421875,0.048828125,0.048828125,0.3662109375,1.0498046875,10,OCCUPIED
0.1953125,1.07421875,0.29296875,1.171875,0.09765625,0.09765625,0.244140625,1.123046875,9,FREE
0.29296875,1.07421875,0.341796875,1.123046875,0.048828125,0.048828125,0.3173828125,1.0986328125,10,FREE
0.341796875,1.07421875,0.390625,1.123046875,0.048828125,0.048828125,0.3662109375,1.0986328125,10,OCCUPIED
0.29296875,1.123046875,0.341796875,1.171875,0.048828125,0.048828125,0.3173828125,1.1474609375,10,FREE
0.341796875,1.123046875,0.390625,1.171875,0.048828125,0.048828125,0.3662109375,1.1474609375,10,OCCUPIED
0.390625,0.78125,0.78125,1.171875,0.390625,0.390625,0.5859375,0.9765625,7,OCCUPIED
0.0,1.171875,0.1953125,1.3671875,0.1953125,0.1953125,0.09765625,1.26953125,8,FREE
0.1953125,1.171875,0.29296875,1.26953125,0.09765625,0.09765625,0.244140625,1.220703125,9,FREE
0.29296875,1.171875,0.341796875,1.220703125,0.048828125,0.048828125,0.3173828125,1.1962890625,10,FREE
0.341796875,1.171875,0.390625,1.220703125,0.048828125,0.048828125,0.3662109375,1.1962890625,10,OCCUPIED
0.29296875,1.220703125,0.341796875,1.26953125,0.048828125,0.048828125,0.3173828125,1.2451171875,10,FREE
0.341796875,1.220703125,0.390625,1.26953125,0.048828125,0.048828125,0.3662109375,1.2451171875,10,OCCUPIED
0.1953125,1.26953125,0.29296875,1.3671875,0.09765625,0.09765625,0.244140625,1.318359375,9,FREE
0.29296875,1.26953125,0.341796875,1.318359375,0.048828125,0.048828125,0.3173828125,1.2939453125,10,FREE
0.341796875,1.26953125,0.390625,1.318359375,0.048828125,0.048828125,0.3662109375,1.2939453125,10,OCCUPIED
0.29296875,1.318359375,0.341796875,1.3671875,0.048828125,0.048828125,0.3173828125,1.3427734375,10,FREE
0.341796875,1.318359375,0.390625,1.3671875,0.048828125,0.048828125,0.3662109375,1.3427734375,10,OCCUPIED
0.0,1.3671875,0.1953125,1.5625,0.1953125,0.1953125,0.09765625,1.46484375,8,FREE
0.1953125,1.3671875,0.29296875,1.46484375,0.09765625,0.09765625,0.244140625,1.416015625,9,FREE
0.29296875,1.3671875,0.341796875,1.416015625,0.048828125,0.048828125,0.3173828125,1.3916015625,10,FREE
0.341796875,1.3671875,0.390625,1.416015625,0.048828125,0.048828125,0.3662109375,1.3916015625,10,OCCUPIED
0.29296875,1.416015625,0.341796875,1.46484375,0.048828125,0.048828125,0.3173828125,1.4404296875,10,FREE
0.341796875,1.416015625,0.390625,1.46484375,0.048828125,0.048828125,0.3662109375,1.4404296875,10,OCCUPIED
0.1953125,1.46484375,0.29296875,1.5625,0.09765625,0.09765625,0.244140625,1.513671875,9,FREE
0.29296875,1.46484375,0.341796875,1.513671875,0.048828125,0.048828125,0.3173828125,1.4892578125,10,FREE
0.341796875,1.46484375,0.390625,1.513671875,0.048828125,0.048828125,0.3662109375,1.4892578125,10,OCCUPIED
0.29296875,1.513671875,0.341796875,1.5625,0.048828125,0.048828125,0.3173828125,1.5380859375,10,FREE
0.341796875,1.513671875,0.390625,1.5625,0.048828125,0.048828125,0.3662109375,1.5380859375,10,FREE
0.390625,1.171875,0.5859375,1.3671875,0.1953125,0.1953125,0.48828125,1.26953125,8,OCCUPIED
0.5859375,1.171875,0.78125,1.3671875,0.1953125,0.1953125,0.68359375,1.26953125,8,OCCUPIED
0.390625,1.3671875,0.48828125,1.46484375,0.09765625,0.09765625,0.439453125,1.416015625,9,OCCUPIED
0.48828125,1.3671875,0.5859375,1.46484375,0.09765625,0.09765625,0.537109375,1.416015625,9,OCCUPIED
0.390625,1.46484375,0.439453125,1.513671875,0.048828125,0.048828125,0.4150390625,1.4892578125,10,OCCUPIED
0.439453125,1.46484375,0.48828125,1.513671875,0.048828125,0.048828125,0.4638671875,1.4892578125,10,OCCUPIED
0.390625,1.513671875,0.439453125,1.5625,0.048828125,0.048828125,0.4150390625,1.5380859375,10,FREE
0.439453125,1.513671875,0.48828125,1.5625,0.048828125,0.048828125,0.4638671875,1.5380859375,10,FREE
0.48828125,1.46484375,0.537109375,1.513671875,0.048828125,0.048828125,0.5126953125,1.4892578125,10,OCCUPIED
0.537109375,1.46484375,0.5859375,1.513671875,0.048828125,0.048828125,0.5615234375,1.4892578125,10,OCCUPIED
0.48828125,1.513671875,0.537109375,1.5625,0.048828125,0.048828125,0.5126953125,1.5380859375,10,FREE
0.537109375,1.513671875,0.5859375,1.5625,0.048828125,0.048828125,0.5615234375,1.5380859375,10,FREE
0.5859375,1.3671875,0.68359375,1.46484375,0.09765625,0.09765625,0.634765625,1.416015625,9,OCCUPIED
0.68359375,1.3671875,0.78125,1.46484375,0.09765625,0.09765625,0.732421875,1.416015625,9,OCCUPIED
0.5859375,1.46484375,0.634765625,1.513671875,0.048828125,0.048828125,0.6103515625,1.4892578125,10,OCCUPIED
0.634765625,1.46484375,0.68359375,1.513671875,0.048828125,0.048828125,0.6591796875,1.4892578125,10,OCCUPIED
0.5859375,1.513671875,0.634765625,1.5625,0.048828125,0.048828125,0.6103515625,1.5380859375,10,FREE
0.634765625,1.513671875,0.68359375,1.5625,0.048828125,0.048828125,0.6591796875,1.5380859375,10,FREE
0.68359375,1.46484375,0.732421875,1.513671875,0.048828125,0.048828125,0.7080078125,1.4892578125,10,OCCUPIED
0.732421875,1.46484375,0.78125,1.513671875,0.048828125,0.048828125,0.7568359375,1.4892578125,10,OCCUPIED
0.68359375,1.513671875,0.732421875,1.5625,0.048828125,0.048828125,0.7080078125,1.5380859375,10,FREE
0.732421875,1.513671875,0.78125,1.5625,0.048828125,0.048828125,0.7568359375,1.5380859375,10,FREE
0.78125,0.78125,1.171875,1.171875,0.390625,0.390625,0.9765625,0.9765625,7,OCCUPIED
1.171875,0.78125,1.5625,1.171875,0.390625,0.390625,1.3671875,0.9765625,7,OCCUPIED
0.78125,1.171875,0.9765625,1.3671875,0.1953125,0.1953125,0.87890625,1.26953125,8,OCCUPIED
0.9765625,1.171875,1.171875,1.3671875,0.1953125,0.1953125,1.07421875,1.26953125,8,OCCUPIED
0.78125,1.3671875,0.87890625,1.46484375,0.09765625,0.09765625,0.830078125,1.416015625,9,OCCUPIED
0.87890625,1.3671875,0.9765625,1.46484375,0.09765625,0.09765625,0.927734375,1.416015625,9,OCCUPIED
0.78125,1.46484375,0.830078125,1.513671875,0.048828125,0.048828125,0.8056640625,1.4892578125,10,OCCUPIED
0.830078125,1.46484375,0.87890625,1.513671875,0.048828125,0.048828125,0.8544921875,1.4892578125,10,OCCUPIED
0.78125,1.513671875,0.830078125,1.5625,0.048828125,0.048828125,0.8056640625,1.5380859375,10,FREE
0.830078125,1.513671875,0.87890625,1.5625,0.048828125,0.048828125,0.8544921875,1.5380859375,10,FREE
0.87890625,1.46484375,0.927734375,1.513671875,0.048828125,0.048828125,0.9033203125,1.4892578125,10,OCCUPIED
0.927734375,1.46484375,0.9765625,1.513671875,0.048828125,0.048828125,0.9521484375,1.4892578125,10,OCCUPIED
0.87890625,1.513671875,0.927734375,1.5625,0.048828125,0.048828125,0.9033203125,1.5380859375,10,FREE
0.927734375,1.513671875,0.9765625,1.5625,0.048828125,0.048828125,0.9521484375,1.5380859375,10,FREE
0.9765625,1.3671875,1.07421875,1.46484375,0.09765625,0.09765625,1.025390625,1.416015625,9,OCCUPIED
1.07421875,1.3671875,1.171875,1.46484375,0.09765625,0.09765625,1.123046875,1.416015625,9,OCCUPIED
0.9765625,1.46484375,1.025390625,1.513671875,0.048828125,0.048828125,1.0009765625,1.4892578125,10,OCCUPIED
1.025390625,1.46484375,1.07421875,1.513671875,0.048828125,0.048828125,1.0498046875,1.4892578125,10,OCCUPIED
0.9765625,1.513671875,1.025390625,1.5625,0.048828125,0.048828125,1.0009765625,1.5380859375,10,FREE
1.025390625,1.513671875,1.07421875,1.5625,0.048828125,0.048828125,1.0498046875,1.5380859375,10,FREE
1.07421875,1.46484375,1.123046875,1.513671875,0.048828125,0.048828125,1.0986328125,1.4892578125,10,OCCUPIED
1.123046875,1.46484375,1.171875,1.513671875,0.048828125,0.048828125,1.1474609375,1.4892578125,10,OCCUPIED
1.07421875,1.513671875,1.123046875,1.5625,0.048828125,0.048828125,1.0986328125,1.5380859375,10,FREE
1.123046875,1.513671875,1.171875,1.5625,0.048828125,0.048828125,1.1474609375,1.5380859375,10,FREE
1.171875,1.171875,1.3671875,1.3671875,0.1953125,0.1953125,1.26953125,1.26953125,8,OCCUPIED
