count, time, location_odometry_pos_x, location_odometry_pos_y, location_odometry_pos_z, location_odometry_roll, location_odometry_pitch, location_odometry_yaw, 
513,256500,0.572000,-33.191002,0.000000,0.000000,0.000000,-0.432000, 
516,258000,1.629000,-33.606998,0.000000,0.000000,0.000000,-0.324000, 
519,259500,2.731000,-33.933998,0.000000,0.000000,0.000000,-0.245000, 
522,261000,3.855000,-34.165001,0.000000,0.000000,0.000000,-0.178000, 
525,262500,4.977000,-34.320000,0.000000,0.000000,0.000000,-0.113000, 
528,264000,6.118000,-34.432999,0.000000,0.000000,0.000000,-0.073000, 
531,265500,7.254000,-34.488998,0.000000,0.000000,0.000000,-0.052000, 
534,267000,8.393000,-34.562000,0.000000,0.000000,0.000000,-0.057000, 
537,268500,9.535000,-34.630001,0.000000,0.000000,0.000000,-0.062000, 
540,270000,10.674000,-34.688000,0.000000,0.000000,0.000000,-0.019000, 
543,271500,11.816000,-34.682999,0.000000,0.000000,0.000000,0.015000, 
546,273000,12.946000,-34.673000,0.000000,0.000000,0.000000,0.004000, 
549,274500,14.087000,-34.722000,0.000000,0.000000,0.000000,-0.081000, 
552,276000,15.226000,-34.800999,0.000000,0.000000,0.000000,-0.043000, 
555,277500,16.365000,-34.882999,0.000000,0.000000,0.000000,-0.089000, 
558,279000,17.506001,-34.928001,0.000000,0.000000,0.000000,0.002000, 
561,280500,18.636000,-34.922001,0.000000,0.000000,0.000000,0.009000, 
564,282000,19.760000,-34.897999,0.000000,0.000000,0.000000,0.008000, 
567,283500,20.889000,-34.929001,0.000000,0.000000,0.000000,-0.042000, 
570,285000,22.014999,-34.986000,0.000000,0.000000,0.000000,-0.053000, 
573,286500,23.152000,-35.033001,0.000000,0.000000,0.000000,-0.033000, 
576,288000,24.274000,-35.084999,0.000000,0.000000,0.000000,-0.045000, 
579,289500,25.402000,-35.097000,0.000000,0.000000,0.000000,0.033000, 
582,291000,26.523001,-35.035999,0.000000,0.000000,0.000000,0.049000, 
585,292500,27.653999,-35.009998,0.000000,0.000000,0.000000,-0.003000, 
588,294000,28.781000,-35.051998,0.000000,0.000000,0.000000,-0.072000, 
591,295500,29.905001,-35.144001,0.000000,0.000000,0.000000,-0.073000, 
594,297000,31.025999,-35.195000,0.000000,0.000000,0.000000,-0.025000, 
597,298500,32.146999,-35.216000,0.000000,0.000000,0.000000,-0.010000, 
600,300000,33.263000,-35.227001,0.000000,0.000000,0.000000,-0.011000, 
603,301500,34.388000,-35.251999,0.000000,0.000000,0.000000,-0.040000, 
606,303000,35.509998,-35.318001,0.000000,0.000000,0.000000,-0.087000, 
609,304500,36.629002,-35.437000,0.000000,0.000000,0.000000,-0.129000, 
612,306000,37.738998,-35.597000,0.000000,0.000000,0.000000,-0.129000, 
615,307500,38.847000,-35.731998,0.000000,0.000000,0.000000,-0.119000, 
618,309000,39.948002,-35.855999,0.000000,0.000000,0.000000,-0.070000, 
621,310500,41.056999,-35.919998,0.000000,0.000000,0.000000,-0.045000, 
624,312000,42.174000,-35.956001,0.000000,0.000000,0.000000,-0.019000, 
627,313500,43.287998,-35.987000,0.000000,0.000000,0.000000,-0.030000, 
630,315000,44.400002,-36.030998,0.000000,0.000000,0.000000,-0.060000, 
633,316500,45.516998,-36.124001,0.000000,0.000000,0.000000,-0.084000, 
636,318000,46.632000,-36.192001,0.000000,0.000000,0.000000,-0.056000, 
639,319500,47.740002,-36.297001,0.000000,0.000000,0.000000,-0.106000, 
642,321000,48.834000,-36.445999,0.000000,0.000000,0.000000,-0.156000, 
645,322500,49.946999,-36.623001,0.000000,0.000000,0.000000,-0.146000, 
648,324000,51.067001,-36.752998,0.000000,0.000000,0.000000,-0.094000, 
651,325500,52.181000,-36.852001,0.000000,0.000000,0.000000,-0.102000, 
654,327000,53.313999,-36.970001,0.000000,0.000000,0.000000,-0.109000, 
657,328500,54.436001,-37.106998,0.000000,0.000000,0.000000,-0.148000, 
660,330000,55.566002,-37.286999,0.000000,0.000000,0.000000,-0.166000, 
663,331500,56.689999,-37.435001,0.000000,0.000000,0.000000,-0.119000, 
666,333000,57.820000,-37.556999,0.000000,0.000000,0.000000,-0.102000, 
669,334500,58.945999,-37.701000,0.000000,0.000000,0.000000,-0.129000, 
672,336000,60.073002,-37.806999,0.000000,0.000000,0.000000,-0.050000, 
675,337500,61.198002,-37.806999,0.000000,0.000000,0.000000,0.046000, 
678,339000,62.310001,-37.646000,0.000000,0.000000,0.000000,0.288000, 
681,340500,63.306000,-37.106998,0.000000,0.000000,0.000000,0.686000, 
684,342000,64.063004,-36.256001,0.000000,0.000000,0.000000,0.972000, 
687,343500,64.646004,-35.271999,0.000000,0.000000,0.000000,1.103000, 
690,345000,65.094002,-34.243999,0.000000,0.000000,0.000000,1.237000, 
693,346500,65.445999,-33.223000,0.000000,0.000000,0.000000,1.230000, 
696,348000,65.863998,-32.210999,0.000000,0.000000,0.000000,1.108000, 
699,349500,66.406998,-31.264999,0.000000,0.000000,0.000000,1.017000, 
702,351000,67.036003,-30.368000,0.000000,0.000000,0.000000,0.939000, 
705,352500,67.668999,-29.476999,0.000000,0.000000,0.000000,0.967000, 
708,354000,68.237000,-28.539000,0.000000,0.000000,0.000000,1.125000, 
711,355500,68.632004,-27.523001,0.000000,0.000000,0.000000,1.256000, 
714,357000,68.914001,-26.461000,0.000000,0.000000,0.000000,1.349000, 
717,358500,69.133003,-25.391001,0.000000,0.000000,0.000000,1.422000, 
720,360000,69.196999,-24.273001,0.000000,0.000000,0.000000,1.608000, 
723,361500,69.091003,-23.160999,0.000000,0.000000,0.000000,1.700000, 
726,363000,68.907997,-22.066000,0.000000,0.000000,0.000000,1.789000, 
729,364500,68.583000,-20.996000,0.000000,0.000000,0.000000,1.923000, 
732,366000,68.154999,-19.959000,0.000000,0.000000,0.000000,2.011000, 
735,367500,67.626999,-18.980000,0.000000,0.000000,0.000000,2.157000, 
738,369000,66.866997,-18.181999,0.000000,0.000000,0.000000,2.549000, 
741,370500,65.848999,-17.733000,0.000000,0.000000,0.000000,2.887000, 
744,372000,64.820000,-17.688000,0.000000,0.000000,0.000000,-2.839000, 
747,373500,64.075996,-18.278000,0.000000,0.000000,0.000000,-2.096000, 
750,375000,63.848999,-19.305000,0.000000,0.000000,0.000000,-1.537000, 
753,376500,63.874001,-20.403000,0.000000,0.000000,0.000000,-1.591000, 
756,378000,63.785000,-21.487000,0.000000,0.000000,0.000000,-1.759000, 
759,379500,63.396999,-22.378000,0.000000,0.000000,0.000000,-2.314000, 
762,381000,62.646000,-22.752001,0.000000,0.000000,0.000000,-3.038000, 
765,382500,61.838001,-22.541000,0.000000,0.000000,0.000000,2.517000, 
768,384000,61.477001,-22.000999,0.000000,0.000000,0.000000,1.802000, 
771,385500,61.488998,-20.993999,0.000000,0.000000,0.000000,1.528000, 
774,387000,61.499001,-19.900999,0.000000,0.000000,0.000000,1.576000, 
777,388500,61.466000,-18.815001,0.000000,0.000000,0.000000,1.601000, 
780,390000,61.473000,-17.882999,0.000000,0.000000,0.000000,1.493000, 
783,391500,61.595001,-17.069000,0.000000,0.000000,0.000000,1.387000, 
786,393000,61.778999,-16.214001,0.000000,0.000000,0.000000,1.254000, 
789,394500,62.284000,-15.226000,0.000000,0.000000,0.000000,0.978000, 
792,396000,62.921001,-14.296000,0.000000,0.000000,0.000000,0.971000, 
795,397500,63.474998,-13.318000,0.000000,0.000000,0.000000,1.256000, 
798,399000,63.617001,-12.204000,0.000000,0.000000,0.000000,1.570000, 
801,400500,63.549000,-11.082000,0.000000,0.000000,0.000000,1.615000, 
804,402000,63.519001,-9.947000,0.000000,0.000000,0.000000,1.635000, 
807,403500,63.514999,-8.818000,0.000000,0.000000,0.000000,1.499000, 
810,405000,63.594002,-7.690000,0.000000,0.000000,0.000000,1.507000, 
813,406500,63.665001,-6.564000,0.000000,0.000000,0.000000,1.486000, 
816,408000,63.775002,-5.439000,0.000000,0.000000,0.000000,1.489000, 
819,409500,63.868999,-4.316000,0.000000,0.000000,0.000000,1.453000, 
822,411000,63.951000,-3.190000,0.000000,0.000000,0.000000,1.565000, 
825,412500,63.933998,-2.073000,0.000000,0.000000,0.000000,1.594000, 
828,414000,63.914001,-0.952000,0.000000,0.000000,0.000000,1.569000, 
831,415500,63.953999,0.167000,0.000000,0.000000,0.000000,1.505000, 
834,417000,64.032997,1.284000,0.000000,0.000000,0.000000,1.511000, 
837,418500,64.083000,2.412000,0.000000,0.000000,0.000000,1.548000, 
840,420000,64.081001,3.544000,0.000000,0.000000,0.000000,1.593000, 
843,421500,64.079002,4.677000,0.000000,0.000000,0.000000,1.548000, 
846,423000,64.103996,5.803000,0.000000,0.000000,0.000000,1.558000, 
849,424500,64.153999,6.927000,0.000000,0.000000,0.000000,1.501000, 
852,426000,64.241997,8.053000,0.000000,0.000000,0.000000,1.491000, 
855,427500,64.328003,9.183000,0.000000,0.000000,0.000000,1.505000, 
858,429000,64.359001,10.312000,0.000000,0.000000,0.000000,1.629000, 
861,430500,64.236000,11.429000,0.000000,0.000000,0.000000,1.694000, 
864,432000,64.073997,12.542000,0.000000,0.000000,0.000000,1.755000, 
867,433500,63.835999,13.647000,0.000000,0.000000,0.000000,1.750000, 
870,435000,63.730000,14.772000,0.000000,0.000000,0.000000,1.594000, 
873,436500,63.715000,15.903000,0.000000,0.000000,0.000000,1.560000, 
876,438000,63.733002,17.018000,0.000000,0.000000,0.000000,1.565000, 
879,439500,63.723000,18.160999,0.000000,0.000000,0.000000,1.591000, 
882,441000,63.738998,19.292999,0.000000,0.000000,0.000000,1.441000, 
885,442500,64.083000,20.287001,0.000000,0.000000,0.000000,0.944000, 
888,444000,64.938004,20.902000,0.000000,0.000000,0.000000,0.390000, 
891,445500,66.041000,21.165001,0.000000,0.000000,0.000000,0.114000, 
894,447000,67.169998,21.188000,0.000000,0.000000,0.000000,-0.028000, 
897,448500,68.306999,21.135000,0.000000,0.000000,0.000000,-0.089000, 
900,450000,69.442001,21.014000,0.000000,0.000000,0.000000,-0.105000, 
903,451500,70.581001,20.941999,0.000000,0.000000,0.000000,-0.042000, 
906,453000,71.721001,20.884001,0.000000,0.000000,0.000000,-0.069000, 
909,454500,72.860001,20.767000,0.000000,0.000000,0.000000,-0.136000, 
912,456000,73.995003,20.600000,0.000000,0.000000,0.000000,-0.138000, 
915,457500,75.124001,20.481001,0.000000,0.000000,0.000000,-0.087000, 
918,459000,76.253998,20.375000,0.000000,0.000000,0.000000,-0.121000, 
921,460500,77.390999,20.247000,0.000000,0.000000,0.000000,-0.079000, 
924,462000,78.515999,20.174999,0.000000,0.000000,0.000000,-0.054000, 
927,463500,79.665001,20.118999,0.000000,0.000000,0.000000,-0.041000, 
930,465000,80.815002,20.105000,0.000000,0.000000,0.000000,0.010000, 
933,466500,81.928001,20.340000,0.000000,0.000000,0.000000,0.358000, 
936,468000,82.890999,20.921000,0.000000,0.000000,0.000000,0.768000, 
939,469500,83.353996,21.862000,0.000000,0.000000,0.000000,1.400000, 
